mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1391092777252196,0.03390703558686087,0.08298516273498535,0.02499979102843982,5,sqrt,100,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__n_estimators': 100}",0.74,0.6451612903225806,0.8076923076923077,0.7843137254901961,0.7524752475247525,0.7459285142059674,0.05571396779652372,1
1.5048439979553223,0.19781542195595386,0.11168675422668457,0.049807165667721025,5,sqrt,200,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__n_estimators': 200}",0.74,0.6451612903225806,0.7884615384615384,0.7843137254901961,0.76,0.7435873108548631,0.05223459358377429,3
0.6295928478240966,0.13019281897905965,0.09083456993103027,0.0439376754345397,5,log2,100,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__n_estimators': 100}",0.74,0.6451612903225806,0.8076923076923077,0.7843137254901961,0.7524752475247525,0.7459285142059674,0.05571396779652372,1
1.5944580078125,0.08768093644314559,0.09499173164367676,0.01584622165788747,5,log2,200,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__n_estimators': 200}",0.74,0.6451612903225806,0.7884615384615384,0.7843137254901961,0.76,0.7435873108548631,0.05223459358377429,3
0.7583145141601563,0.07980389723920389,0.062299489974975586,0.0077394531518600145,10,sqrt,100,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__n_estimators': 100}",0.7254901960784313,0.6213592233009708,0.7962962962962963,0.7962962962962963,0.7547169811320755,0.7388317986208139,0.0645514993168745,5
1.2802207946777344,0.046301482779074796,0.09402165412902833,0.02477294512380498,10,sqrt,200,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__n_estimators': 200}",0.7115384615384616,0.62,0.7962962962962963,0.7924528301886793,0.7572815533980582,0.7355138282842991,0.0653125637953627,7
0.6192916393280029,0.030142695987907017,0.070306396484375,0.024372300718271907,10,log2,100,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__n_estimators': 100}",0.7254901960784313,0.6213592233009708,0.7962962962962963,0.7962962962962963,0.7547169811320755,0.7388317986208139,0.0645514993168745,5
1.0652084827423096,0.02187688801497238,0.08378891944885254,0.01582662970318401,10,log2,200,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__n_estimators': 200}",0.7115384615384616,0.62,0.7962962962962963,0.7924528301886793,0.7572815533980582,0.7355138282842991,0.0653125637953627,7
0.5969879627227783,0.0217956992181338,0.057573986053466794,0.011273854747214361,,sqrt,100,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__n_estimators': 100}",0.7169811320754716,0.6095238095238096,0.7889908256880734,0.7818181818181819,0.7155963302752294,0.7225820558761532,0.06446918814815672,9
1.214647150039673,0.06162461292826609,0.08804507255554199,0.014976008101056508,,sqrt,200,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__n_estimators': 200}",0.7037037037037037,0.5981308411214953,0.7818181818181819,0.8037383177570093,0.7222222222222222,0.7219226533245224,0.07202459290462392,11
0.6055758953094482,0.04524053960556604,0.05366663932800293,0.005045043685036666,,log2,100,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__n_estimators': 100}",0.7169811320754716,0.6095238095238096,0.7889908256880734,0.7818181818181819,0.7155963302752294,0.7225820558761532,0.06446918814815672,9
0.8614791393280029,0.03071769966305266,0.050769996643066403,0.005973367624358524,,log2,200,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__n_estimators': 200}",0.7037037037037037,0.5981308411214953,0.7818181818181819,0.8037383177570093,0.7222222222222222,0.7219226533245224,0.07202459290462392,11
